OBJECTID,LOCNUM,SALESVOL,X,Y
226,404463484,65074,-118.10699999999994,33.92560000000002
227,230023251,44960,-118.04829999999998,33.937600000000046
228,404467434,35495,-118.08649999999993,34.00090000000011
229,404467419,4732,-117.99609999999993,33.943200000000054
230,404474092,59158,-117.91859999999998,33.99160000000011
231,404472000,35495,-117.91109999999999,34.033500000000046
232,404467430,47327,-118.073,34.07450000000013
233,404463483,1183,-118.08579999999994,34.14700000000009
234,404460860,47327,-117.97979999999998,34.06950000000009
235,404467439,32419,-117.98309999999995,34.13750000000003
236,404469756,36441,-117.88729999999998,33.70280000000005
237,404467431,59632,-117.81249999999991,33.68530000000007
238,404477828,35495,-117.8273999999999,33.6999000000001
239,404476118,35495,-117.88799999999995,33.761500000000105
240,230176323,30762,-117.85039999999995,33.75900000000016
241,404469739,70990,-117.78549999999991,33.727100000000036
242,404471979,41411,-117.83469999999996,33.82450000000002
243,404462016,47090,-117.87699999999997,33.88800000000001
244,716712930,47327,-117.8878,33.91920000000006
245,404458828,35495,-117.74889999999998,33.86860000000013
246,404467445,52533,-117.6640999999999,33.67660000000006
247,404474089,1893,-117.51639999999995,33.82630000000014
248,404474084,35495,-117.56429999999992,33.901100000000106
249,404477830,2366,-117.82139999999995,34.00470000000007
250,427769775,35495,-117.77189999999996,34.027300000000004
251,404476115,42594,-117.71869999999993,33.99820000000012
252,404460852,52059,-117.88509999999998,34.07280000000008
253,404474078,47327,-117.82439999999994,34.10660000000006
254,402956039,7099,-117.90789999999998,34.13570000000005
255,425508239,47327,-117.76000000000003,34.11100000000009
256,404463501,946,-117.68409999999996,34.033500000000046
257,404467436,35495,-117.55449999999999,33.97530000000007
258,404471986,35495,-117.69099999999995,34.08970000000006
259,679077388,1419,-117.64069999999995,34.13330000000008
260,404477833,35495,-117.56139999999998,34.075800000000136
261,427836204,35495,-117.57399999999993,34.10859999999999
262,404462007,35495,-117.32939999999995,33.184100000000086
263,404462017,35495,-117.22869999999996,33.13660000000008
264,404467447,39044,-117.2147,33.16940000000004
265,404467421,47327,-117.09979999999995,33.11380000000009
266,404458827,44960,-117.14599999999992,33.506300000000074
267,556969012,47327,-117.20599999999997,33.56710000000005
268,404695655,47327,-117.17729999999995,33.59880000000008
269,638071183,35495,-117.34219999999998,33.689400000000084
270,404477825,42594,-117.45949999999998,33.90680000000001
271,404477821,37861,-117.17309999999995,33.680400000000056
272,404467435,47327,-117.38250000000001,33.94740000000004
273,404459484,709,-117.28109999999995,33.94010000000002
274,404471985,45434,-117.43429999999992,34.06490000000016
275,266623305,47563,-117.47239999999996,34.152200000000086
276,404463500,41411,-117.29199999999994,34.07850000000015
277,404463493,35495,-117.18959999999998,33.93770000000008
278,404465214,35495,-117.20719999999999,34.071200000000054
279,230176224,40228,-117.24519999999998,34.13780000000008
280,404467453,35495,-117.00899999999993,33.745900000000056
281,404474096,35495,-118.14629999999995,34.59930000000015
282,404474099,29579,-118.14909999999996,34.67370000000013
283,697900751,35495,-118.04499999999993,34.573500000000024
284,683888739,61525,-117.38409999999993,34.424800000000076
285,404469760,47327,-117.3286,34.506100000000075
286,645247354,35495,-117.21769999999995,34.52750000000002
287,892003690,29579,-117.24350000000001,34.46900000000011
288,230024580,87555,-116.48199999999997,33.78820000000013
289,230021073,34312,-116.40289999999997,33.72400000000006
290,242160059,35495,-116.28979999999994,33.708900000000064
291,682822036,35495,-116.21699999999998,33.740000000000045
292,667477350,58578,-115.19509999999994,36.0404
293,401452306,35146,-115.085,36.00300000000001
294,667477509,46862,-115.12189999999997,36.01240000000005
295,447862863,33975,-115.04760000000002,36.064600000000056
296,672110624,4686,-114.99460000000002,36.03820000000012
297,227085479,1171,-115.30699999999997,36.11390000000009
298,899508451,30460,-115.24149999999996,36.12480000000002
299,529774705,46862,-115.28699999999998,36.16110000000006
300,230024663,26946,-115.13919999999995,36.11660000000006
301,464060896,35146,-115.24980000000001,36.219200000000065
302,203594262,50377,-115.2646,36.27940000000005
303,402304123,35146,-115.2068,36.27080000000005
304,694262932,35146,-115.13309999999993,36.28920000000012
305,230024101,29289,-115.06239999999994,36.15680000000009
306,369441225,35995,-114.6059999999999,32.704600000000106
307,653371732,33745,-111.68369999999994,32.88120000000003
308,637266065,2474,-110.25569999999996,31.555900000000143
309,682221973,33745,-110.99069999999998,32.16320000000008
310,387851413,899,-110.9143,32.22170000000011
311,168752855,38245,-110.88059999999996,32.222800000000134
312,499007912,39370,-110.85269999999996,32.24900000000008
313,255960270,67491,-110.78639999999997,32.20780000000006
314,499007961,40495,-111.04869999999991,32.33660000000007
315,168706281,33745,-110.97609999999993,32.27980000000009
316,514035971,44994,-110.95979999999999,32.39870000000005
317,666372099,33745,-114.58969999999995,35.052600000000105
318,686578915,40495,-112.42179999999996,33.43720000000012
319,696602051,33745,-112.35569999999994,33.46330000000012
320,593682248,33745,-112.35379999999999,33.63730000000011
321,484750765,44994,-111.98119999999996,33.32140000000007
322,642379390,44994,-112.26989999999995,33.42330000000003
323,168210334,44994,-112.2186,33.475700000000145
324,593723794,33745,-112.26039999999996,33.55170000000006
325,671663185,33745,-112.15309999999997,33.58100000000009
326,466448388,44994,-112.2308,33.63810000000004
327,256608233,40495,-112.03429999999993,33.379000000000076
328,671702199,33745,-111.98459999999996,33.47750000000012
329,168029536,33745,-112.09799999999993,33.52090000000005
330,230024408,33745,-112.06569999999999,33.63790000000011
331,309509909,38245,-111.98799999999991,33.59980000000008
332,245506217,33745,-111.89979999999997,33.29770000000014
333,406693641,33745,-111.84119999999996,33.251500000000085
334,380021097,1349,-111.78659999999995,33.27860000000006
335,666373733,33745,-111.7569999999999,33.3341000000001
336,667145403,1574,-111.64159999999997,33.25420000000006
337,380021105,674,-111.68709999999996,33.32380000000007
338,230176216,44994,-111.90779999999994,33.37930000000012
339,364569798,38245,-111.86489999999999,33.391900000000106
340,666373204,33745,-111.90609999999997,33.4294000000001
341,230176356,40495,-111.78579999999994,33.39440000000012
342,847343035,30371,-111.88729999999995,33.53839999999999
343,696623305,1124,-111.88879999999992,33.62710000000015
344,419457973,33745,-111.71819999999995,33.573900000000016
345,484746227,42969,-111.68309999999995,33.38880000000004
346,593681935,2249,-111.68399999999995,33.454800000000006
347,631770153,56243,-112.27269999999996,33.7092000000001
348,506804756,33745,-112.1188999999999,33.66660000000005
349,593682024,33745,-111.97359999999996,33.67640000000011
350,593723901,22497,-111.92569999999994,33.77900000000003
351,888019197,25871,-112.43509999999999,34.55040000000002
352,885337527,56243,-111.65979999999996,35.18420000000001
353,223457359,16875,-113.5542,37.10320000000004
354,903913796,31888,-108.1479,36.76870000000009
355,404463744,35903,-98.28689999999993,26.196100000000047
356,404465608,71807,-98.21449999999997,26.187900000000052
357,404470188,35903,-98.25449999999994,26.242300000000057
358,404467895,50264,-99.50219999999995,27.570200000000057
359,202867891,65823,-98.21669999999997,26.268900000000098
360,606960904,239,-99.45159999999996,27.515800000000052
361,404470180,47871,-97.72199999999998,26.18270000000009
362,404470184,35903,-97.50939999999996,25.96690000000012
363,404461002,47871,-97.37579999999993,27.71010000000016
364,472295849,33509,-106.54600000000002,31.819100000000073
365,492899190,47871,-106.41629999999996,31.781200000000148
366,986047256,21992,-106.74489999999997,32.31760000000009
367,472310333,31116,-106.30499999999995,31.770200000000035
368,609453824,35903,-106.26559999999992,31.758700000000083
369,210973350,28722,-102.3475,31.89210000000002
370,940385321,33509,-102.14509999999991,32.023800000000016
371,427922977,32988,-106.56859999999996,35.10030000000009
372,403955149,39586,-106.66449999999999,35.186100000000124
373,396818205,38486,-106.58209999999995,35.172600000000045
374,996327896,32988,-106.65139999999997,35.25240000000009
375,230019515,1099,-106.52779999999996,35.08580000000009
376,230021008,43984,-106.54689999999991,35.12930000000012
377,984205690,65976,-106.01289999999993,35.63960000000009
378,472028885,20892,-104.52179999999996,33.427600000000155
379,609449848,48110,-101.94359999999992,33.55170000000006
380,660281353,35903,-101.87049999999998,33.52820000000008
381,869891259,28962,-101.93429999999996,35.186100000000124
382,404461004,35903,-98.64949999999996,29.438300000000122
383,404467907,35903,-98.70899999999993,29.48770000000005
384,404472436,35903,-98.66339999999994,29.548099999999998
385,404465614,35903,-98.54269999999998,29.355600000000102
386,404465615,35903,-98.43599999999998,29.353500000000093
387,233297886,59839,-98.55129999999997,29.492500000000124
388,895154623,33509,-98.58789999999998,29.56000000000008
389,404474581,35903,-98.50519999999996,29.520200000000074
390,425508155,35903,-98.44549999999997,29.48830000000003
391,404465618,47871,-98.48019999999998,29.56490000000003
392,404462208,35903,-98.59689999999993,29.606700000000085
393,425508131,2154,-98.51019999999995,29.612000000000062
394,404461001,71807,-98.44899999999996,29.654000000000078
395,690776877,35903,-98.34859999999995,29.48360000000001
396,404474577,47871,-98.32729999999994,29.568800000000106
397,404470185,35903,-98.0735999999999,29.731100000000083
398,404478206,23696,-97.97029999999998,29.8461000000001
399,719405946,35903,-97.86399999999996,30.01160000000002
400,653372474,478,-97.79009999999992,30.161000000000055
401,404467898,48110,-97.82799999999995,30.234000000000055
402,404462207,26329,-97.79239999999997,30.232800000000093
403,404462209,28722,-97.95039999999993,30.31800000000009
404,366730141,35903,-97.85109999999996,30.400000000000095
405,684712318,35903,-97.79639999999992,30.474700000000034
406,649663309,35903,-97.81289999999994,30.528200000000016
407,230022162,29919,-100.50109999999995,31.431900000000024
408,165135633,28722,-99.76729999999998,32.40560000000005
409,358580504,17951,-97.78709999999997,32.72980000000008
410,404461007,35903,-96.99889999999999,28.865700000000146
411,404478200,47871,-97.70649999999995,30.316300000000123
412,404467913,31116,-97.71569999999993,30.36260000000007
413,404465613,35903,-97.74519999999994,30.393500000000117
414,404467254,59839,-97.67229999999995,30.413600000000052
415,404463750,23935,-97.66959999999992,30.47950000000002
416,688988401,47871,-97.59689999999996,30.466400000000103
417,396146797,1196,-97.69599999999997,30.63290000000012
418,404472438,35903,-96.31499999999996,30.610400000000073
419,404467909,35903,-96.3223,30.66500000000014
420,439725200,1196,-96.32329999999992,30.665800000000022
421,404470187,26089,-95.46489999999994,29.05000000000014
422,404465616,1436,-95.75089999999992,29.547800000000073
423,404462204,40690,-95.77619999999995,29.735800000000015
424,594074908,35903,-95.62739999999995,29.596599999999995
425,404476584,71807,-95.56709999999997,29.56600000000009
426,404467903,35903,-95.62659999999993,29.73290000000009
427,404465620,35903,-95.56779999999995,29.7355000000001
428,404467906,35903,-95.51769999999998,29.735300000000073
429,404459538,35903,-95.46039999999995,29.685900000000082
430,404458856,23935,-95.38569999999996,29.553500000000053
431,586394660,71807,-95.41739999999996,29.69080000000003
432,006200901,33509,-95.26459999999994,29.600900000000024
433,404478203,1436,-95.08119999999998,29.453600000000073
434,404472445,1196,-94.84029999999996,29.290700000000157
435,243252749,11967,-95.1518,29.5365000000001
436,404470183,33509,-95.02259999999997,29.540700000000115
437,404467897,47871,-95.15289999999995,29.651700000000105
438,404476586,47871,-95.71649999999995,29.78260000000003
439,617841382,37100,-95.64689999999993,29.877700000000154
440,404470177,23935,-95.6921,29.96880000000006
441,404476583,35903,-95.54179999999992,29.78300000000011
442,404467894,718,-95.45309999999992,29.745200000000125
443,404465612,38297,-95.50239999999997,29.849000000000053
444,404467908,1914,-95.60669999999995,29.920900000000145
445,425508162,35903,-95.58379999999995,29.99970000000013
446,404460191,35903,-95.53110000000001,29.969800000000117
447,404476580,35903,-95.38339999999992,29.77440000000009
448,404467902,35903,-95.26489999999997,30.01760000000013
449,404472443,35903,-95.63949999999993,30.091300000000036
450,404465610,5265,-95.43139999999993,30.049000000000067
451,404472449,1914,-95.56809999999994,30.217500000000054
452,404461000,39493,-95.45309999999992,30.169400000000103
453,404465617,35903,-95.47339999999993,30.31400000000005
454,696976372,35903,-95.56589999999994,30.706900000000108
455,404470182,35903,-95.17269999999995,29.998400000000128
456,404478205,27047,-94.97630000000001,29.77190000000015
457,890513831,47871,-97.66809999999997,31.071500000000157
458,667525729,35903,-97.38409999999996,31.092400000000048
459,227298106,33509,-97.19339999999995,31.533400000000032
460,395960156,1675,-97.35039999999994,32.5225000000001
