OBJECTID,LOCNUM,SALESVOL,SHAPE
1050,637322801,1499,"{""y"": 36.6585000000001, ""x"": -76.234}"
1051,967032061,46708,"{""y"": 36.771500000000124, ""x"": -76.2315}"
1052,651922395,32138,"{""y"": 36.86590000000006, ""x"": -76.21079999999992}"
1053,667526529,32138,"{""y"": 36.78830000000012, ""x"": -76.10939999999994}"
1054,425508226,32138,"{""y"": 36.84370000000005, ""x"": -76.13379999999995}"
1055,667526487,32138,"{""y"": 36.75530000000003, ""x"": -76.00959999999993}"
1056,716697149,31682,"{""y"": 39.02520000000003, ""x"": -94.24859999999993}"
1057,404478064,422,"{""y"": 38.16280000000011, ""x"": -92.60359999999997}"
1058,404467745,31682,"{""y"": 38.57940000000008, ""x"": -92.21419999999995}"
1059,404467744,35906,"{""y"": 38.96470000000004, ""x"": -92.37739999999995}"
1060,639834662,31682,"{""y"": 38.53470000000006, ""x"": -90.98159999999994}"
1061,006209910,22291,"{""y"": 41.01520000000002, ""x"": -92.43839999999993}"
1062,404476268,18414,"{""y"": 40.82110000000011, ""x"": -91.17169999999996}"
1063,404478062,31682,"{""y"": 38.41260000000007, ""x"": -90.39669999999992}"
1064,404465476,42242,"{""y"": 38.59470000000011, ""x"": -90.54689999999994}"
1065,404460150,31682,"{""y"": 38.620800000000024, ""x"": -90.51739999999994}"
1066,404480229,42242,"{""y"": 38.66690000000007, ""x"": -90.58549999999994}"
1067,637314683,31682,"{""y"": 38.76620000000004, ""x"": -90.76629999999994}"
1068,631426277,12672,"{""y"": 38.818600000000124, ""x"": -90.87769999999995}"
1069,404460148,31682,"{""y"": 38.73900000000003, ""x"": -90.63609999999994}"
1070,404476412,21332,"{""y"": 38.77760000000007, ""x"": -90.69989999999999}"
1071,404463676,36962,"{""y"": 38.79100000000002, ""x"": -90.56469999999996}"
1072,404458661,10560,"{""y"": 38.50210000000009, ""x"": -90.44699999999996}"
1073,404478055,42242,"{""y"": 38.506600000000084, ""x"": -90.33959999999999}"
1074,404467738,42242,"{""y"": 38.56480000000001, ""x"": -90.40679999999998}"
1075,404472301,31682,"{""y"": 38.59250000000008, ""x"": -90.2956}"
1076,404459148,63364,"{""y"": 38.62820000000003, ""x"": -90.34319999999994}"
1077,404458660,36962,"{""y"": 38.753300000000046, ""x"": -90.4258}"
1078,425690091,31682,"{""y"": 38.80510000000011, ""x"": -90.31049999999996}"
1079,646755512,31682,"{""y"": 38.7269000000001, ""x"": -90.27639999999994}"
1080,404460911,36250,"{""y"": 38.919900000000034, ""x"": -90.17059999999994}"
1081,404458658,33984,"{""y"": 38.523100000000106, ""x"": -90.03029999999995}"
1082,404467644,33984,"{""y"": 38.57130000000011, ""x"": -89.98519999999994}"
1083,404458603,40781,"{""y"": 38.57300000000002, ""x"": -89.92319999999991}"
